,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,000735.SZ,20190507,9.62,9.87,9.29,9.73,9.54,0.19000000000000128,1.99,517020.05,499214.001
1,000735.SZ,20190506,10.21,10.45,9.54,9.54,10.6,-1.0600000000000005,-10.0,694600.88,693337.763
2,000735.SZ,20190430,10.33,10.72,10.29,10.6,10.35,0.25,2.42,494771.86,521846.988
3,000735.SZ,20190429,11.29,11.29,10.29,10.35,11.35,-1.0,-8.81,739977.12,793491.374
4,000735.SZ,20190426,12.23,12.23,11.35,11.35,12.61,-1.2599999999999998,-9.99,1127156.57,1307020.501
5,000735.SZ,20190425,13.11,13.56,12.6,12.61,13.31,-0.7000000000000011,-5.26,1322060.31,1743519.65
6,000735.SZ,20190424,12.84,13.33,12.5,13.31,12.85,0.46000000000000085,3.58,1334580.01,1735809.356
7,000735.SZ,20190423,12.66,13.29,12.26,12.85,12.75,0.09999999999999964,0.78,1081574.71,1385976.292
8,000735.SZ,20190422,12.48,12.86,12.42,12.75,12.58,0.16999999999999993,1.35,670365.78,849905.184
9,000735.SZ,20190419,12.65,12.75,12.38,12.58,12.65,-0.07000000000000028,-0.55,528505.7,662590.309
10,000735.SZ,20190418,12.7,13.1,12.6,12.65,12.85,-0.1999999999999993,-1.56,637591.88,817656.198
11,000735.SZ,20190417,12.71,13.11,12.67,12.85,12.8,0.049999999999998934,0.39,711645.5,918731.473
12,000735.SZ,20190416,12.6,12.85,12.42,12.8,12.94,-0.1399999999999988,-1.08,719942.73,908535.009
13,000735.SZ,20190415,13.0,13.6,12.7,12.94,13.24,-0.3000000000000007,-2.27,1067567.77,1400596.637
14,000735.SZ,20190412,12.9,13.5,12.81,13.24,12.77,0.47000000000000064,3.68,1054367.56,1390992.301
15,000735.SZ,20190411,12.93,13.16,12.77,12.77,13.04,-0.2699999999999996,-2.07,645086.5,833255.965
16,000735.SZ,20190410,13.28,13.58,13.02,13.04,13.43,-0.39000000000000057,-2.9,988627.37,1310604.443
17,000735.SZ,20190409,13.52,13.67,12.95,13.43,13.38,0.049999999999998934,0.37,1452996.6,1945656.67
18,000735.SZ,20190408,13.09,13.73,13.0,13.38,13.09,0.2900000000000009,2.22,1552904.19,2076754.997
19,000735.SZ,20190404,12.7,13.2,12.48,13.09,12.75,0.33999999999999986,2.67,1112575.16,1417427.486
20,000735.SZ,20190403,12.33,12.92,12.22,12.75,12.39,0.35999999999999943,2.91,1055579.84,1338116.539
21,000735.SZ,20190402,12.68,12.68,12.31,12.39,12.61,-0.21999999999999886,-1.74,780022.16,971434.646
22,000735.SZ,20190401,12.31,12.73,12.26,12.61,12.38,0.22999999999999865,1.86,819999.81,1029384.79
23,000735.SZ,20190329,12.04,12.4,12.03,12.38,12.06,0.3200000000000003,2.65,643751.7,789093.177
24,000735.SZ,20190328,12.35,12.36,11.98,12.06,12.49,-0.4299999999999997,-3.44,620248.23,753711.441
25,000735.SZ,20190327,12.7,12.82,12.16,12.49,12.91,-0.41999999999999993,-3.25,751727.63,935985.975
26,000735.SZ,20190326,13.05,13.26,12.83,12.91,12.93,-0.019999999999999574,-0.15,890821.25,1162232.828
27,000735.SZ,20190325,13.06,13.19,12.78,12.93,13.35,-0.41999999999999993,-3.15,949867.71,1233924.2
28,000735.SZ,20190322,12.96,13.59,12.94,13.35,12.97,0.379999999999999,2.93,1252673.12,1662716.067
29,000735.SZ,20190321,12.96,13.17,12.82,12.97,13.03,-0.05999999999999872,-0.46,820683.69,1065523.937
30,000735.SZ,20190320,12.95,13.3,12.83,13.03,13.1,-0.07000000000000028,-0.53,872630.74,1139411.618
31,000735.SZ,20190319,12.71,13.17,12.57,13.1,12.71,0.3899999999999988,3.07,950145.47,1223027.862
32,000735.SZ,20190318,12.6,12.88,12.4,12.71,12.55,0.16000000000000014,1.27,658513.11,834164.336
33,000735.SZ,20190315,12.42,12.75,12.35,12.55,12.21,0.33999999999999986,2.78,704304.27,882240.924
34,000735.SZ,20190314,12.7,12.86,11.92,12.21,12.93,-0.7199999999999989,-5.57,876435.27,1083579.037
35,000735.SZ,20190313,13.55,13.77,12.78,12.93,13.7,-0.7699999999999996,-5.62,1369090.59,1808173.717
36,000735.SZ,20190312,12.99,14.11,12.89,13.7,13.0,0.6999999999999993,5.38,1924819.46,2605221.789
37,000735.SZ,20190311,13.05,13.14,12.68,13.0,12.85,0.15000000000000036,1.17,841073.68,1089947.568
38,000735.SZ,20190308,12.6,13.35,12.43,12.85,12.93,-0.08000000000000007,-0.62,1414234.28,1833242.866
39,000735.SZ,20190307,13.25,13.25,12.8,12.93,13.23,-0.3000000000000007,-2.27,1098133.76,1424471.74
40,000735.SZ,20190306,13.33,13.34,12.99,13.23,13.5,-0.2699999999999996,-2.0,1209754.24,1592882.473
41,000735.SZ,20190305,13.4,13.7,13.26,13.5,13.57,-0.07000000000000028,-0.52,1224965.41,1651381.223
42,000735.SZ,20190304,13.2,13.73,13.11,13.57,13.26,0.3100000000000005,2.34,1380110.8,1851764.626
43,000735.SZ,20190301,13.1,13.33,12.96,13.26,12.99,0.2699999999999996,2.08,1002792.3,1323365.066
44,000735.SZ,20190228,13.06,13.36,12.81,12.99,12.8,0.1899999999999995,1.48,880311.71,1149262.755
45,000735.SZ,20190227,13.1,13.36,12.7,12.8,13.39,-0.5899999999999999,-4.41,1304677.74,1705706.629
46,000735.SZ,20190226,12.61,13.78,12.29,13.39,12.6,0.7900000000000009,6.27,1889495.2,2438544.972
47,000735.SZ,20190225,12.3,12.63,12.0,12.6,12.2,0.40000000000000036,3.28,1473999.15,1828338.219
48,000735.SZ,20190222,12.11,12.25,11.91,12.2,12.24,-0.040000000000000924,-0.33,923474.73,1116748.755
49,000735.SZ,20190221,12.42,12.65,12.2,12.24,12.62,-0.379999999999999,-3.01,1285941.49,1592902.079
50,000735.SZ,20190220,12.02,12.86,11.9,12.62,11.91,0.7099999999999991,5.96,1636114.38,2015594.449
51,000735.SZ,20190219,12.02,12.58,11.83,11.91,12.1,-0.1899999999999995,-1.57,1366433.97,1659448.498
