,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,002638.SZ,20190507,2.7,2.73,2.64,2.72,2.67,0.050000000000000266,1.87,177019.05,47721.661
1,002638.SZ,20190506,2.75,2.8,2.56,2.67,2.83,-0.16000000000000014,-5.65,285870.25,77002.715
2,002638.SZ,20190430,2.76,2.86,2.73,2.83,2.76,0.07000000000000028,2.54,211364.15,59513.929
3,002638.SZ,20190429,3.02,3.09,2.75,2.76,3.05,-0.29000000000000004,-9.51,519878.27,147509.815
4,002638.SZ,20190426,3.12,3.2,3.03,3.05,3.16,-0.11000000000000032,-3.48,258809.5,80798.529
5,002638.SZ,20190425,3.39,3.44,3.14,3.16,3.4,-0.23999999999999977,-7.06,467505.0,153489.834
6,002638.SZ,20190424,3.38,3.44,3.33,3.4,3.35,0.04999999999999982,1.49,324296.15,109475.293
7,002638.SZ,20190423,3.48,3.48,3.3,3.35,3.5,-0.1499999999999999,-4.29,544584.77,184415.908
8,002638.SZ,20190422,3.54,3.73,3.47,3.5,3.58,-0.08000000000000007,-2.23,842853.75,304482.824
9,002638.SZ,20190419,3.42,3.66,3.38,3.58,3.45,0.1299999999999999,3.77,899732.36,317708.745
10,002638.SZ,20190418,3.52,3.64,3.35,3.45,3.52,-0.06999999999999984,-1.99,1357304.65,475008.435
11,002638.SZ,20190417,3.17,3.52,3.16,3.52,3.2,0.31999999999999984,10.0,1004979.58,343228.63
12,002638.SZ,20190416,3.15,3.21,3.02,3.2,3.18,0.020000000000000018,0.63,334792.57,104506.654
13,002638.SZ,20190415,3.29,3.33,3.17,3.18,3.27,-0.08999999999999986,-2.75,370185.65,120727.544
14,002638.SZ,20190412,3.29,3.39,3.17,3.27,3.27,0.0,0.0,514624.79,168207.741
15,002638.SZ,20190411,3.23,3.46,3.19,3.27,3.24,0.029999999999999805,0.93,667688.51,219440.121
16,002638.SZ,20190410,3.18,3.26,3.12,3.24,3.2,0.040000000000000036,1.25,454502.97,145897.169
17,002638.SZ,20190409,3.21,3.23,3.13,3.2,3.25,-0.04999999999999982,-1.54,404064.93,128418.163
18,002638.SZ,20190408,3.21,3.28,3.09,3.25,3.18,0.06999999999999984,2.2,584625.81,186961.99
19,002638.SZ,20190404,3.21,3.27,3.11,3.18,3.2,-0.020000000000000018,-0.63,310533.49,98774.518
20,002638.SZ,20190403,3.12,3.2,3.1,3.2,3.15,0.050000000000000266,1.59,344687.29,109396.16
21,002638.SZ,20190402,3.14,3.19,3.1,3.15,3.13,0.020000000000000018,0.64,390222.09,122738.768
22,002638.SZ,20190401,2.98,3.17,2.97,3.13,2.97,0.1599999999999997,5.39,450707.4,139284.029
23,002638.SZ,20190329,2.91,2.99,2.84,2.97,2.9,0.07000000000000028,2.41,317615.09,92935.423
24,002638.SZ,20190328,3.03,3.06,2.89,2.9,3.05,-0.1499999999999999,-4.92,374082.73,111102.699
25,002638.SZ,20190327,3.11,3.14,3.01,3.05,3.11,-0.06000000000000005,-1.93,268401.0,82230.828
26,002638.SZ,20190326,3.28,3.3,3.06,3.11,3.27,-0.16000000000000014,-4.89,446047.5,141090.042
27,002638.SZ,20190325,3.32,3.33,3.24,3.27,3.38,-0.10999999999999988,-3.25,450102.57,148035.17
28,002638.SZ,20190322,3.27,3.41,3.2,3.38,3.28,0.10000000000000009,3.05,729402.76,241983.564
29,002638.SZ,20190321,3.29,3.37,3.23,3.28,3.25,0.029999999999999805,0.92,542475.08,178027.802
30,002638.SZ,20190320,3.22,3.29,3.17,3.25,3.23,0.020000000000000018,0.62,406745.92,131096.329
31,002638.SZ,20190319,3.29,3.29,3.18,3.23,3.29,-0.06000000000000005,-1.82,418487.28,135054.714
32,002638.SZ,20190318,3.22,3.32,3.1,3.29,3.2,0.08999999999999986,2.81,549738.28,178330.319
33,002638.SZ,20190315,3.23,3.32,3.11,3.2,3.15,0.050000000000000266,1.59,461832.84,147370.996
34,002638.SZ,20190314,3.2,3.2,2.97,3.15,3.22,-0.07000000000000028,-2.17,599883.11,186196.567
35,002638.SZ,20190313,3.28,3.55,3.19,3.22,3.27,-0.04999999999999982,-1.53,765561.76,256832.587
36,002638.SZ,20190312,3.25,3.33,3.18,3.27,3.22,0.04999999999999982,1.55,618280.78,201779.796
37,002638.SZ,20190311,3.11,3.23,3.06,3.22,3.04,0.18000000000000016,5.92,495448.45,155799.738
38,002638.SZ,20190308,3.22,3.32,3.02,3.04,3.35,-0.31000000000000005,-9.25,747589.37,238776.696
39,002638.SZ,20190307,3.25,3.43,3.19,3.35,3.27,0.08000000000000007,2.45,766036.52,251978.743
40,002638.SZ,20190306,3.17,3.27,3.07,3.27,3.17,0.10000000000000009,3.15,857933.77,270597.818
41,002638.SZ,20190305,2.98,3.19,2.97,3.17,3.02,0.1499999999999999,4.97,805511.81,249558.981
42,002638.SZ,20190304,3.03,3.1,2.95,3.02,3.04,-0.020000000000000018,-0.66,714984.69,216574.345
43,002638.SZ,20190301,3.01,3.15,2.97,3.04,3.07,-0.029999999999999805,-0.98,630028.96,191795.002
44,002638.SZ,20190228,2.92,3.14,2.92,3.07,2.98,0.08999999999999986,3.02,719856.98,218316.435
45,002638.SZ,20190227,2.9,3.06,2.86,2.98,2.91,0.06999999999999984,2.41,703188.46,208442.47
46,002638.SZ,20190226,2.88,3.02,2.81,2.91,2.9,0.010000000000000231,0.34,706562.36,204488.999
47,002638.SZ,20190225,2.82,2.93,2.78,2.9,2.78,0.1200000000000001,4.32,639933.79,182601.097
48,002638.SZ,20190222,2.65,2.8,2.64,2.78,2.64,0.13999999999999968,5.3,592067.16,161732.454
49,002638.SZ,20190221,2.67,2.83,2.62,2.64,2.68,-0.040000000000000036,-1.49,509408.63,138497.996
50,002638.SZ,20190220,2.71,2.72,2.63,2.68,2.71,-0.029999999999999805,-1.11,271271.5,72648.706
51,002638.SZ,20190219,2.7,2.74,2.64,2.71,2.7,0.009999999999999787,0.37,458150.74,122917.066
52,002638.SZ,20190218,2.59,2.73,2.57,2.7,2.58,0.1200000000000001,4.65,519192.33,137200.033
53,002638.SZ,20190215,2.55,2.64,2.5,2.58,2.56,0.020000000000000018,0.78,277308.77,71592.047
54,002638.SZ,20190214,2.6,2.66,2.54,2.56,2.56,0.0,0.0,390656.82,101483.811
55,002638.SZ,20190213,2.6,2.67,2.51,2.56,2.56,0.0,0.0,443648.8,114133.135
56,002638.SZ,20190212,2.33,2.56,2.32,2.56,2.33,0.22999999999999998,9.87,118987.22,30121.596
57,002638.SZ,20190211,2.27,2.35,2.25,2.33,2.25,0.08000000000000007,3.56,190391.0,43916.371
58,002638.SZ,20190201,2.12,2.28,2.12,2.25,2.11,0.14000000000000012,6.64,222337.87,48660.961
59,002638.SZ,20190131,2.11,2.17,2.11,2.11,2.34,-0.22999999999999998,-9.83,319745.5,67877.211
60,002638.SZ,20190130,2.42,2.44,2.32,2.34,2.44,-0.10000000000000009,-4.1,120957.0,28952.397
61,002638.SZ,20190129,2.5,2.5,2.35,2.44,2.52,-0.08000000000000007,-3.17,159139.81,38521.489
62,002638.SZ,20190128,2.55,2.58,2.49,2.52,2.55,-0.029999999999999805,-1.18,162847.92,41276.297
63,002638.SZ,20190125,2.7,2.7,2.55,2.55,2.68,-0.13000000000000034,-4.85,223049.9,58173.782
64,002638.SZ,20190124,2.64,2.71,2.63,2.68,2.66,0.020000000000000018,0.75,126082.19,33656.269
65,002638.SZ,20190123,2.63,2.67,2.62,2.66,2.65,0.010000000000000231,0.38,109275.61,28910.477
66,002638.SZ,20190122,2.75,2.76,2.61,2.65,2.76,-0.10999999999999988,-3.99,214578.63,57519.508
67,002638.SZ,20190121,2.76,2.78,2.73,2.76,2.76,0.0,0.0,125189.5,34440.547
68,002638.SZ,20190118,2.77,2.81,2.74,2.76,2.78,-0.020000000000000018,-0.72,154775.92,42817.622
69,002638.SZ,20190117,2.76,2.82,2.74,2.78,2.75,0.029999999999999805,1.09,174291.23,48474.052
70,002638.SZ,20190116,2.8,2.8,2.75,2.75,2.8,-0.04999999999999982,-1.79,129971.13,35987.216
71,002638.SZ,20190115,2.78,2.81,2.76,2.8,2.78,0.020000000000000018,0.72,122445.56,34130.186
72,002638.SZ,20190114,2.85,2.85,2.76,2.78,2.84,-0.06000000000000005,-2.11,152864.04,42735.083
73,002638.SZ,20190111,2.78,2.85,2.76,2.84,2.77,0.06999999999999984,2.53,197045.02,55420.578
74,002638.SZ,20190110,2.75,2.84,2.73,2.77,2.74,0.029999999999999805,1.09,207758.0,57952.002
75,002638.SZ,20190109,2.72,2.79,2.71,2.74,2.73,0.010000000000000231,0.37,197541.5,54542.104
76,002638.SZ,20190108,2.7,2.78,2.68,2.73,2.71,0.020000000000000018,0.74,169184.0,46328.396
77,002638.SZ,20190107,2.68,2.72,2.64,2.71,2.65,0.06000000000000005,2.26,183749.0,49370.014
78,002638.SZ,20190104,2.56,2.68,2.52,2.65,2.58,0.06999999999999984,2.71,170110.31,44620.224
79,002638.SZ,20190103,2.55,2.6,2.55,2.58,2.56,0.020000000000000018,0.78,99809.0,25679.89
80,002638.SZ,20190102,2.59,2.59,2.54,2.56,2.57,-0.009999999999999787,-0.39,88646.81,22712.714
81,002638.SZ,20181228,2.58,2.61,2.53,2.57,2.56,0.009999999999999787,0.39,106020.52,27316.182
82,002638.SZ,20181227,2.7,2.71,2.56,2.56,2.64,-0.08000000000000007,-3.03,135479.52,35781.319
83,002638.SZ,20181226,2.68,2.71,2.64,2.64,2.69,-0.04999999999999982,-1.86,121589.0,32469.164
84,002638.SZ,20181225,2.82,2.82,2.56,2.69,2.84,-0.1499999999999999,-5.28,355724.75,94168.753
85,002638.SZ,20181224,2.93,2.95,2.81,2.84,2.91,-0.07000000000000028,-2.41,182582.1,52495.934
86,002638.SZ,20181221,2.94,2.96,2.86,2.91,2.94,-0.029999999999999805,-1.02,136249.5,39666.15
87,002638.SZ,20181220,2.93,3.0,2.89,2.94,2.9,0.040000000000000036,1.38,156965.02,46240.221
88,002638.SZ,20181219,2.99,2.99,2.89,2.9,2.98,-0.08000000000000007,-2.68,106013.0,31144.218
89,002638.SZ,20181218,2.97,3.02,2.9,2.98,3.0,-0.020000000000000018,-0.67,159436.53,47245.971
90,002638.SZ,20181217,2.94,3.01,2.88,3.0,2.95,0.04999999999999982,1.69,147890.5,43660.105
91,002638.SZ,20181214,3.09,3.09,2.95,2.95,3.09,-0.13999999999999968,-4.53,243027.67,72998.808
92,002638.SZ,20181213,3.08,3.15,3.0,3.09,3.06,0.029999999999999805,0.98,264411.72,80997.398
93,002638.SZ,20181212,3.03,3.11,3.02,3.06,3.01,0.050000000000000266,1.66,260447.73,79852.704
94,002638.SZ,20181211,2.98,3.02,2.97,3.01,2.96,0.04999999999999982,1.69,108907.29,32648.508
95,002638.SZ,20181210,2.98,3.03,2.95,2.96,3.0,-0.040000000000000036,-1.33,118818.42,35447.232
96,002638.SZ,20181207,3.06,3.08,2.99,3.0,3.04,-0.040000000000000036,-1.32,141675.25,42904.292
97,002638.SZ,20181206,3.12,3.13,3.03,3.04,3.17,-0.1299999999999999,-4.1,264287.91,81287.145
98,002638.SZ,20181205,3.06,3.19,3.02,3.17,3.12,0.04999999999999982,1.6,407032.35,126597.621
