,ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
0,300099.SZ,20190507,7.61,7.73,7.37,7.59,7.6,-0.009999999999999787,-0.13,377302.22,285742.19
1,300099.SZ,20190506,7.98,8.04,7.6,7.6,8.44,-0.8399999999999999,-9.95,223040.27,172404.545
2,300099.SZ,20190430,8.41,8.62,8.19,8.44,8.44,0.0,0.0,305904.32,257758.81
3,300099.SZ,20190429,8.75,8.82,8.2,8.44,8.59,-0.15000000000000036,-1.75,390431.18,331263.972
4,300099.SZ,20190426,8.56,8.96,8.55,8.59,8.67,-0.08000000000000007,-0.92,359039.02,313885.057
5,300099.SZ,20190425,9.14,9.36,8.61,8.67,9.26,-0.5899999999999999,-6.37,461914.64,417849.748
6,300099.SZ,20190424,9.14,9.44,8.88,9.26,9.09,0.16999999999999993,1.87,507093.2,462651.177
7,300099.SZ,20190423,9.54,9.57,9.01,9.09,9.42,-0.33000000000000007,-3.5,524479.66,484351.294
8,300099.SZ,20190422,9.8,10.12,9.36,9.42,9.95,-0.5299999999999994,-5.33,693931.46,673425.243
9,300099.SZ,20190419,10.42,10.64,9.8,9.95,10.82,-0.870000000000001,-8.04,984953.46,996153.27
10,300099.SZ,20190418,10.06,11.35,9.83,10.82,10.32,0.5,4.84,1500170.01,1606875.196
11,300099.SZ,20190417,10.0,10.79,9.9,10.32,10.1,0.22000000000000064,2.18,1138819.79,1171766.189
12,300099.SZ,20190416,9.5,10.13,9.5,10.1,9.8,0.29999999999999893,3.06,775716.94,763749.546
13,300099.SZ,20190415,9.98,10.25,9.8,9.8,9.91,-0.10999999999999943,-1.11,802656.5,803776.987
14,300099.SZ,20190412,10.1,10.33,9.56,9.91,10.2,-0.28999999999999915,-2.84,1091737.81,1086543.246
15,300099.SZ,20190411,11.02,11.5,10.18,10.2,11.3,-1.1000000000000014,-9.73,1401361.18,1524665.057
16,300099.SZ,20190410,11.7,12.67,10.99,11.3,11.83,-0.5299999999999994,-4.48,1869620.9,2203920.623
17,300099.SZ,20190409,11.41,11.83,11.41,11.83,10.75,1.08,10.05,1455246.49,1686604.371
18,300099.SZ,20190408,10.75,10.75,10.75,10.75,9.77,0.9800000000000004,10.03,141137.71,151723.038
19,300099.SZ,20190404,9.77,9.77,9.77,9.77,8.88,0.8899999999999988,10.02,50634.33,49469.74
20,300099.SZ,20190403,8.88,8.88,8.88,8.88,8.07,0.8100000000000005,10.04,19240.7,17085.741
21,300099.SZ,20190402,8.07,8.07,8.07,8.07,7.34,0.7300000000000004,9.95,19255.7,15539.349
22,300099.SZ,20190401,7.34,7.34,7.34,7.34,6.67,0.6699999999999999,10.04,13789.72,10121.654
23,300099.SZ,20190329,6.27,6.67,6.27,6.67,6.06,0.6100000000000003,10.07,171558.05,111973.777
24,300099.SZ,20190328,5.5,6.06,5.4,6.06,5.51,0.5499999999999998,9.98,550089.73,329389.74
25,300099.SZ,20190327,5.63,5.74,5.32,5.51,5.68,-0.16999999999999993,-2.99,172008.91,94956.243
26,300099.SZ,20190326,5.79,5.99,5.63,5.68,5.78,-0.10000000000000053,-1.73,286158.31,166240.909
27,300099.SZ,20190325,5.6,5.98,5.55,5.78,5.69,0.08999999999999986,1.58,256809.16,149058.655
28,300099.SZ,20190322,5.67,5.7,5.51,5.69,5.69,0.0,0.0,115100.12,64572.493
29,300099.SZ,20190321,5.62,5.72,5.57,5.69,5.62,0.07000000000000028,1.25,157305.52,88896.644
30,300099.SZ,20190320,5.58,5.65,5.47,5.62,5.58,0.040000000000000036,0.72,121535.99,67654.807
